year,helping_others,interesting_work,social_usefulness
2016,2,2,2
2016,2,2,1
2016,1,2,1
2016,2,1,1
2016,2,1,3
2016,2,2,1
2016,1,1,1
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,2,2,2
2016,3,3,2
2016,2,2,1
2016,1,1,3
2016,2,1,2
2016,1,1,1
2016,1,1,3
2016,2,1,2
2016,1,1,1
2016,1,2,1
2016,3,1,3
2016,4,1,1
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,3,2,3
2016,3,2,2
2016,1,2,1
2016,2,1,2
2016,2,1,1
2016,1,1,1
2016,2,2,2
2016,4,2,2
2016,2,1,1
2016,1,1,1
2016,3,2,3
2016,2,2,1
2016,1,1,2
2016,1,2,2
2016,1,1,1
2016,2,2,1
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,2,2,2
2016,1,2,1
2016,1,1,3
2016,2,3,2
2016,1,1,1
2016,3,3,3
2016,2,1,2
2016,3,1,2
2016,1,1,1
2016,1,2,1
2016,2,1,1
2016,1,2,2
2016,1,1,1
2016,2,2,2
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,1,1,2
2016,2,1,2
2016,3,3,4
2016,1,1,1
2016,2,2,1
2016,1,1,1
2016,2,2,2
2016,3,2,2
2016,1,1,1
2016,2,2,2
2016,2,1,1
2016,1,2,1
2016,3,2,2
2016,1,1,1
2016,2,1,2
2016,2,1,2
2016,2,2,2
2016,2,2,2
2016,2,4,2
2016,2,1,1
2016,2,2,2
2016,1,1,1
2016,2,2,2
2016,2,3,1
2016,3,1,2
2016,1,1,1
2016,1,2,1
2016,2,1,2
2016,1,1,2
2016,2,2,2
2016,2,1,2
2016,1,1,2
2016,2,1,2
2016,2,2,2
2016,2,1,2
2016,2,2,1
2016,3,2,3
2016,2,1,1
2016,2,1,1
2016,3,1,2
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,2,2,3
2016,2,2,2
2016,2,4,2
2016,1,1,1
2016,1,1,1
2016,4,4,4
2016,1,1,2
2016,3,2,3
2016,2,2,2
2016,1,1,1
2016,1,2,1
2016,2,2,2
2016,1,3,1
2016,2,1,1
2016,3,1,2
2016,2,2,2
2016,1,2,1
2016,2,4,2
2016,2,1,2
2016,1,2,2
2016,1,2,1
2016,4,4,4
2016,3,2,2
2016,2,3,2
2016,3,2,2
2016,2,3,2
2016,1,1,1
2016,1,1,1
2016,1,2,1
2016,1,1,1
2016,1,1,2
2016,2,2,1
2016,2,2,2
2016,2,1,2
2016,3,1,3
2016,2,1,2
2016,1,2,1
2016,1,1,1
2016,1,2,1
2016,2,2,1
2016,1,2,1
2016,3,1,3
2016,2,2,2
2016,2,1,2
2016,2,1,2
2016,1,1,1
2016,3,2,2
2016,2,1,2
2016,3,4,2
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,2,2,1
2016,2,2,2
2016,2,1,2
2016,2,2,1
2016,2,1,2
2016,2,1,1
2016,2,2,2
2016,3,2,3
2016,3,2,2
2016,2,2,2
2016,1,1,1
2016,1,2,1
2016,1,2,1
2016,2,2,2
2016,3,1,3
2016,2,2,1
2016,3,3,3
2016,2,2,2
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,4,3,4
2016,2,2,2
2016,2,2,2
2016,1,2,1
2016,4,2,2
2016,3,1,3
2016,2,1,2
2016,2,2,1
2016,2,1,1
2016,2,2,2
2016,2,2,2
2016,2,2,2
2016,2,2,2
2016,4,3,2
2016,1,2,2
2016,2,2,2
2016,2,1,1
2016,1,1,1
2016,3,2,2
2016,2,2,1
2016,1,1,1
2016,1,1,1
2016,2,1,1
2016,2,1,2
2016,2,2,2
2016,2,2,2
2016,3,1,2
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,2,1,1
2016,2,2,2
2016,2,1,1
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,1,2,1
2016,3,1,3
2016,3,2,3
2016,2,1,2
2016,1,1,1
2016,2,2,2
2016,1,2,1
2016,1,1,1
2016,1,1,1
2016,3,2,3
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,3,2,2
2016,1,1,1
2016,1,2,1
2016,2,1,1
2016,1,1,2
2016,1,2,1
2016,3,2,3
2016,2,2,2
2016,1,1,1
2016,2,2,2
2016,1,2,1
2016,3,1,1
2016,1,1,1
2016,1,1,2
2016,2,2,2
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,2,1,3
2016,2,2,1
2016,1,1,1
2016,1,3,2
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,3,1,2
2016,2,1,2
2016,2,1,1
2016,1,2,1
2016,1,1,1
2016,3,3,3
2016,2,1,1
2016,3,1,3
2016,1,1,1
2016,2,1,2
2016,1,1,1
2016,1,1,2
2016,2,1,2
2016,1,1,1
2016,1,2,2
2016,1,2,1
2016,1,2,1
2016,2,2,1
2016,3,2,2
2016,1,2,1
2016,1,2,1
2016,1,2,1
2016,2,1,2
2016,1,1,1
2016,3,1,2
2016,4,1,4
2016,1,2,2
2016,2,1,1
2016,2,2,2
2016,1,1,1
2016,1,2,1
2016,2,2,1
2016,3,2,2
2016,3,1,3
2016,3,1,3
2016,1,2,1
2016,2,2,1
2016,1,1,1
2016,2,2,1
2016,1,2,1
2016,2,2,1
2016,2,2,1
2016,1,2,1
2016,3,2,2
2016,1,1,1
2016,3,1,2
2016,1,1,1
2016,2,1,2
2016,1,1,1
2016,2,2,2
2016,1,2,2
2016,2,1,1
2016,1,1,4
2016,1,1,1
2016,2,2,1
2016,1,1,1
2016,2,1,3
2016,3,3,2
2016,1,1,1
2016,1,1,2
2016,1,1,1
2016,1,1,1
2016,1,2,1
2016,3,2,3
2016,2,1,1
2016,2,2,2
2016,3,2,3
2016,1,1,1
2016,1,2,1
2016,1,2,1
2016,1,1,1
2016,3,1,3
2016,1,1,1
2016,2,2,2
2016,2,2,1
2016,2,3,2
2016,1,1,1
2016,1,2,2
2016,2,1,2
2016,1,2,3
2016,3,2,3
2016,3,1,3
2016,1,1,1
2016,1,1,2
2016,1,1,1
2016,2,1,1
2016,3,2,3
2016,1,1,1
2016,2,2,1
2016,1,4,2
2016,1,2,1
2016,2,1,1
2016,1,1,2
2016,2,3,2
2016,2,2,1
2016,2,1,2
2016,4,2,3
2016,1,1,1
2016,1,2,1
2016,1,1,1
2016,3,1,1
2016,4,2,4
2016,1,4,1
2016,2,1,1
2016,1,1,1
2016,1,2,1
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,1,1,2
2016,1,1,1
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,1,1,2
2016,1,2,1
2016,2,1,1
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,2,1,2
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,2,4,2
2016,1,1,1
2016,2,2,2
2016,1,1,1
2016,3,1,3
2016,3,1,1
2016,2,2,1
2016,2,2,2
2016,1,2,2
2016,2,2,2
2016,3,1,1
2016,2,1,2
2016,1,2,1
2016,2,2,1
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,1,2,2
2016,1,4,3
2016,1,2,2
2016,2,2,3
2016,3,3,3
2016,2,1,1
2016,2,2,2
2016,1,3,3
2016,2,1,2
2016,2,1,2
2016,3,2,2
2016,2,2,3
2016,1,1,1
2016,1,1,2
2016,1,2,1
2016,1,2,1
2016,1,1,1
2016,1,1,1
2016,3,4,3
2016,2,2,2
2016,1,1,1
2016,2,3,2
2016,1,1,1
2016,3,2,3
2016,3,3,3
2016,3,2,3
2016,2,2,2
2016,2,2,2
2016,3,2,3
2016,2,2,2
2016,3,2,2
2016,1,2,1
2016,2,2,2
2016,2,2,2
2016,1,2,1
2016,2,1,2
2016,2,1,2
2016,2,3,3
2016,2,1,2
2016,2,2,2
2016,4,2,5
2016,2,1,2
2016,2,1,2
2016,3,3,3
2016,1,2,1
2016,4,2,3
2016,2,1,1
2016,1,2,1
2016,2,2,2
2016,1,1,2
2016,1,1,1
2016,1,1,1
2016,1,3,1
2016,2,2,3
2016,2,3,1
2016,1,2,1
2016,1,1,1
2016,1,1,2
2016,1,1,1
2016,5,3,3
2016,1,1,1
2016,2,2,2
2016,2,1,1
2016,1,1,1
2016,2,1,1
2016,3,1,2
2016,2,1,1
2016,2,2,2
2016,1,1,1
2016,2,2,1
2016,2,2,1
2016,3,2,3
2016,2,1,1
2016,2,1,2
2016,1,1,1
2016,2,2,1
2016,3,1,1
2016,2,2,2
2016,2,2,1
2016,2,2,1
2016,2,1,2
2016,1,2,2
2016,1,1,1
2016,1,1,1
2016,1,2,1
2016,2,2,4
2016,1,2,1
2016,1,1,1
2016,2,1,1
2016,1,1,1
2016,2,2,1
2016,2,1,2
2016,2,3,2
2016,2,2,1
2016,2,2,2
2016,1,2,2
2016,2,1,2
2016,2,2,2
2016,3,2,3
2016,2,2,1
2016,1,1,1
2016,2,1,3
2016,2,2,2
2016,1,2,1
2016,2,1,2
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,3,2,1
2016,2,3,2
2016,2,1,1
2016,3,3,2
2016,1,1,2
2016,2,4,1
2016,2,1,1
2016,2,2,1
2016,2,3,1
2016,2,1,2
2016,1,1,1
2016,2,2,1
2016,2,2,2
2016,2,1,2
2016,2,2,1
2016,1,1,2
2016,2,2,2
2016,1,2,1
2016,2,1,1
2016,2,2,2
2016,1,1,1
2016,2,2,2
2016,2,1,4
2016,3,2,3
2016,1,1,1
2016,2,1,2
2016,2,1,2
2016,1,1,1
2016,2,1,2
2016,2,1,2
2016,2,2,1
2016,2,2,4
2016,2,1,1
2016,4,1,3
2016,2,3,2
2016,1,3,2
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,1,2,1
2016,1,1,2
2016,2,1,2
2016,1,1,1
2016,2,2,2
2016,2,1,1
2016,1,1,1
2016,1,1,2
2016,1,1,1
2016,1,1,1
2016,1,1,2
2016,2,2,2
2016,1,1,1
2016,3,2,3
2016,3,2,2
2016,1,1,1
2016,2,2,2
2016,3,1,3
2016,3,1,3
2016,1,2,1
2016,1,2,2
2016,2,4,1
2016,3,2,2
2016,3,3,3
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,2,2,1
2016,2,2,2
2016,2,2,2
2016,2,2,2
2016,2,2,3
2016,4,2,3
2016,2,4,1
2016,2,1,1
2016,2,1,1
2016,1,1,1
2016,2,2,2
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,1,2,1
2016,2,1,1
2016,5,3,1
2016,1,2,1
2016,1,1,1
2016,2,2,2
2016,1,1,1
2016,2,2,2
2016,2,2,1
2016,2,1,2
2016,2,2,2
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,3,1,2
2016,1,1,1
2016,2,1,2
2016,1,1,1
2016,2,2,2
2016,2,1,2
2016,2,1,1
2016,2,2,1
2016,1,1,1
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,1,3,2
2016,1,1,1
2016,2,2,2
2016,2,1,1
2016,2,2,2
2016,2,2,2
2016,1,1,2
2016,2,1,1
2016,1,1,1
2016,1,4,1
2016,3,2,2
2016,3,1,2
2016,3,1,2
2016,1,1,1
2016,2,2,1
2016,2,3,1
2016,1,2,2
2016,2,1,1
2016,2,1,2
2016,1,1,1
2016,3,1,3
2016,2,3,2
2016,1,1,1
2016,3,2,2
2016,1,2,1
2016,1,1,1
2016,2,2,2
2016,2,1,2
2016,2,3,2
2016,1,1,1
2016,2,1,2
2016,1,2,1
2016,2,1,2
2016,1,2,1
2016,3,2,3
2016,2,3,2
2016,2,2,2
2016,3,1,2
2016,2,1,1
2016,3,3,2
2016,2,1,4
2016,1,2,1
2016,3,1,2
2016,1,1,1
2016,1,2,2
2016,2,2,1
2016,1,2,1
2016,3,4,2
2016,1,1,1
2016,1,1,1
2016,3,1,2
2016,1,1,1
2016,1,2,1
2016,2,2,2
2016,3,2,3
2016,1,1,1
2016,2,1,2
2016,2,1,2
2016,2,2,3
2016,1,1,1
2016,1,1,3
2016,2,2,2
2016,1,2,1
2016,2,2,2
2016,1,1,1
2016,2,2,2
2016,2,3,2
2016,1,2,1
2016,1,1,1
2016,1,1,1
2016,2,2,1
2016,1,1,2
2016,2,2,3
2016,1,1,2
2016,2,2,2
2016,3,2,2
2016,3,2,3
2016,2,1,2
2016,2,1,2
2016,2,1,2
2016,1,1,1
2016,1,1,1
2016,4,3,2
2016,4,2,3
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,1,2,1
2016,1,1,1
2016,1,2,1
2016,3,3,2
2016,1,1,1
2016,3,2,2
2016,2,2,2
2016,2,1,2
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,3,3,3
2016,1,1,1
2016,2,2,1
2016,1,2,1
2016,1,1,1
2016,2,4,2
2016,1,1,3
2016,1,2,1
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,2,2,1
2016,1,2,1
2016,2,1,2
2016,2,2,2
2016,3,2,2
2016,2,2,2
2016,1,1,2
2016,1,1,1
2016,1,2,2
2016,1,2,2
2016,3,2,2
2016,3,2,2
2016,2,2,2
2016,1,3,1
2016,1,1,1
2016,2,1,1
2016,2,2,2
2016,1,1,1
2016,3,2,2
2016,2,2,2
2016,2,1,2
2016,2,1,2
2016,1,1,1
2016,1,2,1
2016,1,1,1
2016,3,2,3
2016,3,2,2
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,1,1,1
2016,2,2,1
2016,1,1,1
2016,1,2,2
2016,2,3,1
2016,3,2,2
2016,4,1,2
2016,3,2,2
2016,2,2,2
2016,1,1,1
2016,2,1,2
2016,2,1,1
2016,2,1,2
2016,2,2,2
2016,1,1,1
2016,3,1,2
2016,1,1,1
2016,2,1,2
2016,2,1,2
2016,2,2,1
2016,2,3,2
2016,2,2,2
2016,3,3,3
2016,2,1,1
2016,2,2,2
2016,1,1,1
2016,1,2,1
2016,3,2,2
2016,2,1,2
2016,2,1,1
2016,3,2,2
2016,2,2,2
2016,2,2,2
2016,1,1,1
2016,2,2,2
2016,2,2,2
2016,1,1,1
2016,3,1,2
2016,1,1,1
2016,1,1,1
2016,2,2,2
2016,1,1,1
2016,2,1,1
2016,1,1,1
2016,1,2,2
2016,3,3,2
2016,1,1,2
2016,2,2,4
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,1,2,3
2016,2,1,2
2016,2,2,2
2016,2,2,2
2016,1,1,1
2016,2,2,1
2016,1,1,5
2016,1,1,1
2016,2,2,1
2016,2,2,2
2016,1,2,1
2016,1,1,2
2016,1,4,2
2016,2,1,1
2016,2,1,2
2016,2,2,3
2016,2,2,3
2016,2,2,2
2016,1,2,1
2016,2,1,1
2016,1,1,1
2016,1,1,5
2016,1,1,1
2016,1,2,1
2016,1,1,1
2016,2,1,2
2016,3,2,2
2016,2,1,1
2016,1,2,1
2016,1,3,1
2016,1,2,2
2016,1,2,1
2016,2,2,2
2016,1,1,1
2016,1,1,1
2016,2,1,2
2016,1,1,1
2016,2,2,1
2016,2,2,2
2016,2,1,2
2016,2,2,2
2016,3,2,3
2016,1,1,1
2016,1,2,1
2016,2,2,1
2016,2,1,2
2016,2,2,2
2016,1,2,2
2016,4,2,4
2016,2,2,2
2016,3,1,2
2016,3,1,2
